image_name,x_min,y_min,x_max,y_max,class_name
maskdb/train/48.jpg,107,27,193,135,nomask
maskdb/train/augmented_image_206.jpg,87,110,262,373,mask
maskdb/train/pexels-photo-4048805.jpeg,924,298,1100,582,nomask
maskdb/train/54.jpg,78,96,267,343,nomask
maskdb/train/43.jpg,46,103,258,372,nomask
maskdb/train/27-with-mask.jpg,70,119,264,366,mask
maskdb/train/30.jpg,55,77,121,167,nomask
maskdb/train/21-with-mask.jpg,187,70,317,231,mask
maskdb/train/32-with-mask.jpg,77,123,204,269,mask
maskdb/train/16-with-mask.jpg,88,116,232,308,mask
maskdb/train/30-with-mask.jpg,51,75,124,165,mask
maskdb/train/75-with-mask.jpg,118,46,186,121,mask
maskdb/train/72-with-mask.jpg,73,99,253,357,mask
maskdb/train/25-with-mask.jpg,90,96,269,333,mask
maskdb/train/23.jpg,56,48,139,155,nomask
maskdb/train/32.jpg,84,119,199,268,nomask
maskdb/train/13-with-mask.jpg,213,59,331,218,mask
maskdb/train/augmented_image_191.jpg,36,46,130,173,mask
maskdb/train/20.jpg,87,88,268,332,nomask
maskdb/train/18.jpg,84,53,182,196,nomask
maskdb/train/augmented_image_195.jpg,31,25,154,189,mask
maskdb/train/27.jpg,77,120,260,367,nomask
maskdb/train/74-with-mask.jpg,67,49,160,156,mask
maskdb/train/15.jpg,79,94,252,353,nomask
maskdb/train/31.jpg,80,72,271,334,nomask
maskdb/train/34-with-mask.jpg,44,74,152,237,mask
maskdb/train/22.jpg,190,169,318,354,nomask
maskdb/train/50.jpg,51,34,139,152,nomask
maskdb/train/augmented_image_193.jpg,45,38,136,181,mask
maskdb/train/24-with-mask.jpg,54,101,239,255,mask
maskdb/train/24.jpg,61,103,235,253,nomask
maskdb/train/34.jpg,40,77,151,240,nomask
maskdb/train/augmented_image_254.jpg,216,198,482,528,mask
maskdb/train/23-with-mask.jpg,54,46,140,154,mask
maskdb/train/57.jpg,26,151,270,496,nomask
maskdb/train/73-with-mask.jpg,76,43,164,144,mask
maskdb/train/47.jpg,63,103,329,440,nomask
maskdb/train/33.jpg,45,21,170,174,nomask
maskdb/train/17.jpg,98,195,238,378,nomask
maskdb/train/augmented_image_261.jpg,54,121,246,351,mask
maskdb/train/62.jpg,41,82,191,212,nomask
maskdb/train/52.jpg,94,100,274,352,nomask
maskdb/train/15-with-mask.jpg,149,18,311,260,mask
maskdb/train/44.jpg,83,142,258,355,nomask
maskdb/train/77-with-mask.jpg,51,18,188,189,mask
maskdb/train/17-with-mask.jpg,196,92,387,306,mask
maskdb/train/16.jpg,142,68,362,419,nomask
maskdb/train/56.jpg,81,112,259,364,nomask
maskdb/train/19-with-mask.jpg,269,80,382,216,mask
maskdb/train/14.jpeg,351,402,531,600,mask
maskdb/train/42.jpg,20,100,253,376,nomask
maskdb/train/58.jpg,143,59,322,275,nomask
maskdb/train/augmented_image_257.jpg,133,48,258,219,mask
maskdb/train/76-with-mask.jpg,21,98,162,242,mask
maskdb/train/36.jpg,17,77,124,221,nomask
maskdb/train/26-with-mask.jpg,73,99,284,320,mask
maskdb/train/11-with-mask.jpg,188,50,314,235,mask
maskdb/train/37.jpg,50,42,120,129,nomask
maskdb/train/augmented_image_187.jpg,348,160,666,466,mask
maskdb/train/61.jpg,98,89,240,306,nomask
maskdb/train/40.jpg,71,99,254,359,nomask
maskdb/train/28.jpg,58,164,293,396,nomask
maskdb/train/46.jpg,73,135,263,343,nomask
maskdb/train/31-with-mask.jpg,98,72,273,326,mask
maskdb/train/augmented_image_190.jpg,123,74,258,253,mask
maskdb/train/49.jpg,37,77,148,234,nomask
maskdb/train/19.jpg,85,132,265,351,nomask
maskdb/train/35-with-mask.jpg,83,59,267,322,mask
maskdb/train/53.jpg,52,77,141,181,nomask
maskdb/train/45.jpg,74,105,277,363,nomask
maskdb/train/augmented_image_184.jpg,76,40,146,131,mask
maskdb/train/59.jpg,69,132,256,354,nomask
maskdb/train/14-with-mask.jpg,64,61,134,142,mask
maskdb/train/29.jpg,75,143,248,360,nomask
maskdb/train/33-with-mask.jpg,50,19,175,175,mask
maskdb/train/29-with-mask.jpg,69,150,248,355,mask
maskdb/train/18-with-mask.jpg,100,71,270,273,mask
